 ,carveme,seed,pathway tools,aureme,raven,raven comb,raven homo,merlin,reconstructor,aureme2,aureme3,aureme4,aureme5
MNXR103095,1,0,1,1,1,1,1,1,1,1,1,1,1
MNXR103098,1,1,1,1,1,1,1,1,1,1,1,1,1
MNXR103108,1,0,0,1,0,0,0,0,0,0,1,1,1
MNXR103120,1,0,1,1,1,1,1,0,0,1,1,1,1
MNXR103159,1,0,1,1,0,1,1,1,1,1,1,1,1
MNXR103169,1,1,0,0,0,0,0,0,0,0,0,0,0
MNXR103197,1,0,0,1,0,0,0,0,1,0,1,1,1
MNXR103226,1,1,0,0,0,0,0,0,0,0,0,0,0
MNXR103332,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR103355,1,1,1,1,1,1,1,1,1,1,1,1,1
MNXR103357,1,1,1,1,1,1,1,1,1,1,1,1,1
MNXR103361,1,1,1,1,1,1,1,1,1,1,1,1,1
MNXR103362,1,1,1,1,1,1,1,1,1,1,1,1,1
MNXR103364,1,0,0,0,0,0,0,1,0,0,0,0,0
MNXR103368,1,1,1,1,1,1,1,1,0,1,1,1,1
MNXR103371,1,1,1,1,1,1,1,1,1,1,1,1,1
MNXR103384,1,1,0,0,0,0,0,1,0,0,0,0,0
MNXR103385,1,1,0,1,0,0,0,0,0,0,1,1,1
MNXR103400,1,1,0,0,0,0,0,0,0,0,0,0,0
MNXR103434,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR104030,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR104033,1,1,0,0,0,0,0,1,0,0,0,0,0
MNXR104083,1,1,1,1,1,1,1,1,1,1,1,1,1
MNXR104325,1,0,0,0,0,0,0,1,0,0,0,0,0
MNXR104327,1,0,0,0,0,0,0,1,0,0,0,0,0
MNXR104354,1,1,0,1,0,0,0,1,0,0,1,1,1
MNXR104357,1,0,1,1,1,1,1,1,1,1,1,1,1
MNXR104361,1,1,1,1,0,1,1,0,1,1,1,0,0
MNXR104379,1,1,0,0,0,0,0,0,0,0,0,0,0
MNXR104495,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR104497,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR104540,1,0,1,1,1,1,1,1,1,1,1,1,1
MNXR104541,1,0,0,0,0,1,1,0,1,0,0,0,0
MNXR104599,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR104650,1,0,0,0,0,1,1,0,0,0,0,0,0
MNXR104658,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR104714,1,1,1,1,1,1,1,1,1,1,1,1,1
MNXR104749,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR104819,1,0,0,1,0,0,0,0,0,0,1,1,1
MNXR104821,1,0,0,1,0,0,0,1,0,0,1,1,1
MNXR104833,1,1,1,1,0,1,1,1,1,1,1,0,0
MNXR104846,1,1,0,1,1,1,1,1,1,0,1,1,1
MNXR104849,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR104852,1,1,0,1,0,0,0,1,0,0,1,1,1
MNXR104853,1,0,0,1,0,0,0,1,0,0,1,1,1
MNXR104868,1,0,0,1,0,0,0,0,0,0,1,1,1
MNXR104885,1,0,1,1,1,1,1,1,1,1,1,1,1
MNXR104886,1,1,1,1,1,1,1,1,1,1,1,1,1
MNXR104952,1,0,1,1,1,1,1,1,1,1,1,1,1
MNXR105000,1,1,1,1,1,1,1,1,1,1,1,1,1
MNXR105002,1,1,0,1,1,1,0,1,1,0,1,1,1
MNXR105091,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR105109,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR105139,1,0,1,1,1,1,1,1,1,1,1,1,1
MNXR105140,1,0,1,1,1,1,1,1,1,1,1,1,1
MNXR105147,1,1,0,1,0,0,0,1,0,0,1,1,1
