MNXR_id,GPR_ref,GPR_au,GPR_cv,GPR_me,GPR_ms,GPR_pt,GPR_rm,GPR_rk,GPR_rc,GPR_rec,rxns_ref,rxns_au,rxns_cv,rxns_me,rxns_ms,rxns_pt,rxns_rm,rxns_rk,rxns_rc,rxns_rec
MNXR103602,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,RE2068C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR147700,N/A,110675169 or 110675178 or 110680434 or 110681021 or 23687490 or 23687720 or 5563771 or 5563777 or 5564363 or 5564544 or 5564565 or 5564812 or 5564884 or 5565105 or 5565233 or 5565688 or 5566289 or 5566523 or 5566555 or 5566802 or 5566872 or 5567213 or 5567533 or 5568277 or 5568580 or 5568762 or 5568845 or 5569015 or 5569118 or 5569128 or 5569287 or 5569551 or 5569737 or 5570105 or 5570358 or 5570397 or 5570505 or 5570571 or 5570605 or 5570857 or 5570893 or 5571002 or 5571049 or 5571066 or 5571505 or 5571900 or 5571923 or 5572063 or 5572107 or 5572557 or 5572795 or 5573299 or 5574123 or 5574210 or 5574280 or 5574411 or 5574477 or 5574802 or 5575168 or 5575304 or 5575443 or 5576502 or 5576696 or 5576998 or 5577077 or 5577102 or 5577988 or 5578019 or 5579652 or 5579898 or 5580276,N/A,N/A,N/A,110675169 or 110675178 or 110680434 or 110681021 or 23687490 or 23687720 or 5563771 or 5563777 or 5564363 or 5564544 or 5564565 or 5564812 or 5564884 or 5565105 or 5565233 or 5565688 or 5566289 or 5566523 or 5566555 or 5566802 or 5566872 or 5567213 or 5567533 or 5568277 or 5568580 or 5568762 or 5568845 or 5569015 or 5569118 or 5569128 or 5569287 or 5569551 or 5569737 or 5570105 or 5570358 or 5570397 or 5570505 or 5570571 or 5570605 or 5570857 or 5570893 or 5571002 or 5571049 or 5571066 or 5571505 or 5571900 or 5571923 or 5572063 or 5572107 or 5572557 or 5572795 or 5573299 or 5574123 or 5574210 or 5574280 or 5574411 or 5574477 or 5574802 or 5575168 or 5575304 or 5575443 or 5576502 or 5576696 or 5576998 or 5577077 or 5577102 or 5577988 or 5578019 or 5579652 or 5579898 or 5580276,110680434 or 23687720 or 5563771 or 5563777 or 5564544 or 5564565 or 5564812 or 5565105 or 5565233 or 5565688 or 5566872 or 5568685 or 5568762 or 5569551 or 5569737 or 5570027 or 5570358 or 5570397 or 5571002 or 5571049 or 5572107 or 5572795 or 5573299 or 5573997 or 5574123 or 5574210 or 5574280 or 5574477 or 5574802 or 5575168 or 5575443 or 5576502 or 5577102 or 5579530 or 5579652 or 5579898,N/A,110680434 or 23687720 or 5563771 or 5563777 or 5564544 or 5564565 or 5564812 or 5565105 or 5565233 or 5565688 or 5566872 or 5568685 or 5568762 or 5569551 or 5569737 or 5570027 or 5570358 or 5570397 or 5571002 or 5571049 or 5572107 or 5572795 or 5573299 or 5573997 or 5574123 or 5574210 or 5574280 or 5574477 or 5574802 or 5575168 or 5575443 or 5576502 or 5577102 or 5579530 or 5579652 or 5579898,N/A,N/A,2.7.10.1_RXN,N/A,N/A,N/A,"2.7.10.1_RXN, 2.7.10.1_RXN",2.7.10.1_RXN,N/A,2.7.10.1_RXN,N/A
MNXR158724,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR117015,N/A,N/A,N/A,N/A,N/A,N/A,5570723,N/A,5570723,N/A,N/A,N/A,N/A,N/A,N/A,RXN_11563,RXN_11563,N/A,RXN_11563,N/A
MNXR152218,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"MLTGY3pp, R_MLTGY3pp",N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR190990,N/A,N/A,N/A,110675983 or 5576852,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,R08181__in,N/A,N/A,N/A,N/A,N/A,N/A
MNXR97387,5577178 or AAEL002992,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,DHCRD2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR158399,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR151251,N/A,N/A,N/A,N/A,N/A,N/A,5569123,N/A,5569123,N/A,N/A,N/A,N/A,N/A,N/A,N/A,RXN_14766,N/A,RXN_14766,N/A
MNXR123156,N/A,5575304 or 5576932,N/A,N/A,N/A,5575304 or 5576932,N/A,N/A,N/A,N/A,N/A,RXN0_2921,N/A,N/A,N/A,RXN0_2921,N/A,N/A,N/A,N/A
