MNXR_id,GPR_ref,GPR_au,GPR_cv,GPR_me,GPR_ms,GPR_pt,GPR_rm,GPR_rk,GPR_rc,GPR_rec,rxns_ref,rxns_au,rxns_cv,rxns_me,rxns_ms,rxns_pt,rxns_rm,rxns_rk,rxns_rc,rxns_rec
MNXR150206,N/A,N/A,N/A,CBJ48571.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,R08265__cytop,N/A,N/A,N/A,N/A,N/A,N/A
MNXR122739,N/A,N/A,N/A,N/A,CBJ26805.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,rxn25475_m0,RXN_9278,N/A,N/A,N/A,N/A
MNXR117550,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR189295,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR148656,CBN75739.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,RXN-7911,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR115143,CBJ26826.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.4.1.36-RXN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR121235,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,RXN_17883,N/A,N/A,N/A,N/A
MNXR147393,N/A,N/A,N/A,CBN79825.1,N/A,N/A,N/A,CBN79825.1,CBN79825.1,N/A,N/A,N/A,N/A,R01687__cytop,N/A,N/A,N/A,R01687,R01687,N/A
MNXR149116,CBN76813.1 or CBN77944.1 or CBN77945.1 or CBN77948.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,BRANCHED-CHAINAMINOTRANSFERVAL-RXN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR107932,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR107491,N/A,N/A,N/A,N/A,CBJ31365.1 or CBN74456.1 or CBN79649.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R_rxn01743_c0, rxn01743_c0",N/A,N/A,N/A,N/A,N/A
MNXR95824,CBJ34009.1 or CBJ34012.1,CBJ34012.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,AMP-DEAMINASE-RXN,AMPD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR109675,CBJ26703.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.5.5.1-RXN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR138597,N/A,CBJ27640.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MG3B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR111525,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CBJ27195.1 or CBJ27196.1,saci:Sinac_0251,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,R07942,rxn07732_c
