Query,Match,HMDB,PubChem,KEGG,SMILES,Comment,MetaNetX
N-acetylthreonine,N-Acetylthreonine,HMDB0062557,152204,,C[C@@H](O)[C@H](NC(C)=O)C(O)=O,1,MNXM739026
N-acetyltryptophan,N-Acetyltryptophan,HMDB0013713,700653,,CC(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,1,MNXM738517
N-delta-acetylornithine,N5-Acetylornithine,HMDB0240589,193343,,CC(=O)NCCC[C@H](N)C(O)=O,1,MNXM571179;MNXM12322
N-formylphenylalanine,N-Formylphenylalanine,HMDB0240317,759256,,OC(=O)[C@H](CC1=CC=CC=C1)NC=O,1,MNXM587728
N-methylalanine,N-Methylalanine,HMDB0094692,5288725,C02721,[H][C@@](C)(NC)C(O)=O,1,MNXM4062
N-methylglutamate,N-methyl-L-glutamic Acid,HMDB0062660,439377,C01046,CN[C@@H](CCC(O)=O)C(O)=O,1,MNXM2141
N-methylleucine,,,,,,0,MNXM587813
N-methylproline,N-Methyl-L-proline,HMDB0094696,643474,,CN1CCC[C@H]1C(O)=O,1,MNXM12285
N-methyltaurine,,,,,,0,MNXM587820
N-methyltryptophan,,,,,,0,MNXM1581945;MNXM733786
N-monomethylarginine,,,,,,0,MNXM6339
"N6,N6,N6-trimethyllysine",,,,,,0,MNXM1129560
N6-acetyllysine,Indoleacetic acid,HMDB0000197,802,C00954,OC(=O)CC1=CNC2=C1C=CC=C2,1,MNXM383
O-sulfo-L-tyrosine,O-Sulfotyrosine,HMDB0155722,514186,,N[C@@H](CC1=CC=C(OS(O)(=O)=O)C=C1)C(O)=O,1,MNXM65081
ornithine,Ornithine,HMDB0000214,6262,C00077,NCCC[C@H](N)C(O)=O,1,MNXM741174
phenethylamine,Phenylethylamine,HMDB0012275,1001,C05332,NCCC1=CC=CC=C1,1,MNXM660
phenylalanine,Phenylalanine,HMDB0000159,6140,C00079,N[C@@H](CC1=CC=CC=C1)C(O)=O,1,MNXM741663
