id,name,id_c,formula,BioCyc_api,name_2,formula_clean
c81_5Zcrn_c,"C8:1fatty acyl-carnitine, derived from C18:3",c81_5Zcrn,['C15H27NO4'],,"C8:1fatty acyl-carnitine, derived from C18:3",C15H27NO4
c81_5Zcrn_m,"C8:1fatty acyl-carnitine, derived from C18:3",c81_5Zcrn,['C15H27NO4'],,"C8:1fatty acyl-carnitine, derived from C18:3",C15H27NO4
c81_5Zcoa_m,"C8:1 fatty acyl-coa, derived from C18:3",c81_5Zcoa,['C29H44N7O17P3S'],,"C8:1 fatty acyl-coa, derived from C18:3",C29H44N7O17P3S
c8dc_c,Suberyl carnitine; octanedioyl carnitine,c8dc,['C15H26NO6'],,Suberyl carnitine; octanedioyl carnitine,C15H26NO6
sbcoa_c,Suberyl-CoA; octadioyl-CoA,sbcoa,['C29H43N7O19P3S'],,Suberyl-CoA; octadioyl-CoA,C29H43N7O19P3S
ca2_r,Calcium,ca2,['Ca'],META:CA+2,lcium,Ca
cmpglna_c,CMP-N-glycoloylneuraminate,cmpglna,['C20H29N4O17P'],META:CPD-262,CMP-N-glycoloylneuraminate,C20H29N4O17P
carn_c,L-Carnosine,carn,['C9H14N4O3'],,L-Carnosine,C9H14N4O3
carn_l,L-Carnosine,carn,['C9H14N4O3'],,L-Carnosine,C9H14N4O3
cdpdag_cho_c,CDP-diacylglycerol(2-),cdpdag_cho,['C12H17N3O11P2RCO2R2CO2'],META:CDPDIACYLGLYCEROL,CDP-diacylglycerol(2-),C12H17N3O11P2RCO2R2CO2
cdpdag_cho_m,CDP-diacylglycerol(2-),cdpdag_cho,['C12H17N3O11P2RCO2R2CO2'],META:CDPDIACYLGLYCEROL,CDP-diacylglycerol(2-),C12H17N3O11P2RCO2R2CO2
pa_cho_m,Phosphatidate(2-),pa_cho,['C3H5O4PRCO2R2CO2'],,Phosphatidate(2-),C3H5O4PRCO2R2CO2
dag_cho_c,Diglyceride,dag_cho,['C3H6ORCO2R2CO2'],,Diglyceride,C3H6ORCO2R2CO2
pchol_cho_c,Phosphatidylcholine,pchol_cho,['C8H18NO4PRCO2R2CO2'],META:PHOSPHATIDYLCHOLINE,Phosphatidylcholine,C8H18NO4PRCO2R2CO2
pe_cho_c,Phosphatidylethanolamine,pe_cho,['C5H12NO4PRCO2R2CO2'],,Phosphatidylethanolamine,C5H12NO4PRCO2R2CO2
crm_cho_c,N-acylsphingosine,crm_cho,['C18H36NO2RCO'],META:Ceramides,N-acylsphingosine,C18H36NO2RCO
crm_cho_g,N-acylsphingosine,crm_cho,['C18H36NO2RCO'],META:Ceramides,N-acylsphingosine,C18H36NO2RCO
xolest2_cho_e,Cholesterol ester,xolest2_cho,['C27H45R2CO2'],META:Cholesterol-esters,Cholesterol ester,C27H45R2CO2
creat_c,Creatine cytosol,creat,['C4H9N3O2'],META:CREATININE,Creatine cytosol,C4H9N3O2
crmp_cho_c,Ceramide 1-phosphate(2-),crmp_cho,['C18H35NO5PRCO'],META:CPD-502,Ceramide 1-phosphate(2-),C18H35NO5PRCO
crmp_cho_e,Ceramide 1-phosphate(2-),crmp_cho,['C18H35NO5PRCO'],META:CPD-502,Ceramide 1-phosphate(2-),C18H35NO5PRCO
h_im,H+,h_,,,H+,
dad_2_n,Deoxyadenosine,dad_2,['C10H13N5O3'],META:DEOXYADENOSINE,Deoxyadenosine,C10H13N5O3
damp_n,DAMP C10H12N5O6P,damp,['C10H12N5O6P'],META:DAMP,DAMP,C10H12N5O6P
dag_cho_n,Diglyceride,dag_cho,['C3H6ORCO2R2CO2'],,Diglyceride,C3H6ORCO2R2CO2
pa_cho_n,Phosphatidate(2-),pa_cho,['C3H5O4PRCO2R2CO2'],,Phosphatidate(2-),C3H5O4PRCO2R2CO2
dag_cho_r,Diglyceride,dag_cho,['C3H6ORCO2R2CO2'],,Diglyceride,C3H6ORCO2R2CO2
dca_r,Decanoate (n-C10:0),dca,['C10H19O2'],,Decanoate (n-C10:0),C10H19O2
3ddcrn_c,3-hydroxydodecanoylcarnitine,3ddcrn,['C19H37NO5'],,3-hydroxydodecanoylcarnitine,C19H37NO5
3ddcrn_e,3-hydroxydodecanoylcarnitine,3ddcrn,['C19H37NO5'],,3-hydroxydodecanoylcarnitine,C19H37NO5
dedoldp_c,Dehydrodolichol diphosphate,dedoldp,"['C95H153O7P2', 'C55H89O7P2']",,Dehydrodolichol diphosphate,"C95H153O7P2', 'C55H89O7P2"
dedolp_c,Dehydrodolichol phosphate,dedolp,"['C55H89O4P', 'C95H153O4P1']",,Dehydrodolichol phosphate,"C55H89O4P', 'C95H153O4P1"
