id,name,id_c,formula,BioCyc_api,name_2,formula_clean
forcoa_c,Formyl-CoA(4-),forcoa,"['C22H36N7O17P3S', 'C22H32N7O17P3S']",META:FORMYL-COA,Formyl-CoA(4-),"C22H36N7O17P3S', 'C22H32N7O17P3S"
oxa_c,Oxalate,oxa,['C2O4'],META:OXALATE,Oxalate,C2O4
oxalcoa_c,Oxalyl-CoA,oxalcoa,['C23H31N7O19P3S'],META:OXALYL-COA,Oxalyl-CoA,C23H31N7O19P3S
for_e,Formate,for,"['CHO2', 'CH1O2']",META:CARBOXYL-GROUP,Formate,"CHO2', 'CH1O2"
succ_c,Succinate,succ,['C4H4O4'],META:SUC,Succinate,C4H4O4
frulys_c,Fructoselysine,frulys,['C12H25N2O7'],META:FRUCTOSELYSINE,Fructoselysine,C12H25N2O7
frulysp_c,Fructoselysine Phosphate,frulysp,['C12H24N2O10P'],,Fructoselysine Phosphate,C12H24N2O10P
frulys_p,Fructoselysine,frulys,['C12H25N2O7'],META:FRUCTOSELYSINE,Fructoselysine,C12H25N2O7
fruur_p,D-Fructuronate,fruur,['C6H9O7'],META:FRUCTURONATE,D-Fructuronate,C6H9O7
fruur_c,D-Fructuronate,fruur,['C6H9O7'],META:FRUCTURONATE,D-Fructuronate,C6H9O7
fru_p,D-Fructose,fru,['C6H12O6'],META:CPD-15382,D-Fructose,C6H12O6
f1p_c,D-Fructose 1-phosphate,f1p,['C6H11O9P'],META:D-fructofuranose-1-phosphate,D-Fructose 1-phosphate,C6H11O9P
fuc__L_p,L-Fucose,fuc__L,['C6H12O5'],META:CPD-15619,L-Fucose,C6H12O5
mal__L_c,L-Malate,mal__L,['C4H4O5'],META:MAL,L-Malate,C4H4O5
fusa_e,Fusidic acid,fusa,['C31H48O5'],META:CPD0-1606,Fusidic acid,C31H48O5
fusa_p,Fusidic acid,fusa,['C31H48O5'],META:CPD0-1606,Fusidic acid,C31H48O5
gam1p_c,D-Glucosamine 1-phosphate,gam1p,['C6H13NO8P'],META:GLUCOSAMINE-1P,D-Glucosamine 1-phosphate,C6H13NO8P
acgam1p_c,N-Acetyl-D-glucosamine 1-phosphate,acgam1p,['C8H14NO9P'],,N-Acetyl-D-glucosamine 1-phosphate,C8H14NO9P
g1p_p,D-Glucose 1-phosphate,g1p,['C6H11O9P'],META:D-glucose-1-phosphates,D-Glucose 1-phosphate,C6H11O9P
glc__D_p,D-Glucose,glc__D,['C6H12O6'],META:Glucopyranose,D-Glucose,C6H12O6
g1p_c,D-Glucose 1-phosphate,g1p,['C6H11O9P'],META:D-glucose-1-phosphates,D-Glucose 1-phosphate,C6H11O9P
dtdpglu_c,DTDPglucose,dtdpglu,['C16H24N2O16P2'],META:DTDP-D-GLUCOSE,DTDPglucose,C16H24N2O16P2
glu1sa_c,L-Glutamate 1-semialdehyde,glu1sa,['C5H9NO3'],META:GLUTAMATE-1-SEMIALDEHYDE,L-Glutamate 1-semialdehyde,C5H9NO3
5aop_c,5-Amino-4-oxopentanoate,5aop,['C5H9NO3'],META:5-AMINO-LEVULINATE,5-Amino-4-oxopentanoate,C5H9NO3
1hdecg3p_c,1-hexadecanoyl-sn-glycerol 3-phosphate,1hdecg3p,"['C19H37O7P1', 'C19H37O7P']",,1-hexadecanoyl-sn-glycerol 3-phosphate,"C19H37O7P1', 'C19H37O7P"
g3pe_e,Sn-Glycero-3-phosphoethanolamine,g3pe,['C5H14NO6P'],META:L-1-GLYCEROPHOSPHORYLETHANOL-AMINE,Sn-Glycero-3-phosphoethanolamine,C5H14NO6P
g3pe_p,Sn-Glycero-3-phosphoethanolamine,g3pe,['C5H14NO6P'],META:L-1-GLYCEROPHOSPHORYLETHANOL-AMINE,Sn-Glycero-3-phosphoethanolamine,C5H14NO6P
g3pi_p,Sn-Glycero-3-phospho-1-inositol,g3pi,['C9H18O11P'],META:CPD-541,Sn-Glycero-3-phospho-1-inositol,C9H18O11P
g3pi_c,Sn-Glycero-3-phospho-1-inositol,g3pi,['C9H18O11P'],META:CPD-541,Sn-Glycero-3-phospho-1-inositol,C9H18O11P
g3pi_e,Sn-Glycero-3-phospho-1-inositol,g3pi,['C9H18O11P'],META:CPD-541,Sn-Glycero-3-phospho-1-inositol,C9H18O11P
g3ps_p,Glycerophosphoserine,g3ps,['C6H13NO8P'],META:CPD0-2030,Glycerophosphoserine,C6H13NO8P
g3ps_c,Glycerophosphoserine,g3ps,['C6H13NO8P'],META:CPD0-2030,Glycerophosphoserine,C6H13NO8P
glyc_c,Glycerol,glyc,['C3H8O3'],META:GLYCEROL,Glycerol,C3H8O3
gam6p_c,D-Glucosamine 6-phosphate,gam6p,['C6H13NO8P'],META:D-GLUCOSAMINE-6-P,D-Glucosamine 6-phosphate,C6H13NO8P
g6p_c,D-Glucose 6-phosphate,g6p,['C6H11O9P'],META:D-glucopyranose-6-phosphate,D-Glucose 6-phosphate,C6H11O9P
6pgl_c,"6-phospho-D-glucono-1,5-lactone",6pgl,['C6H9O9P'],META:D-6-P-GLUCONO-DELTA-LACTONE,"6-phospho-D-glucono-1,5-lactone",C6H9O9P
g6p_p,D-Glucose 6-phosphate,g6p,['C6H11O9P'],META:D-glucopyranose-6-phosphate,D-Glucose 6-phosphate,C6H11O9P
gal1p_p,Alpha-D-Galactose 1-phosphate,gal1p,['C6H11O9P'],META:GALACTOSE-1P,Alpha-D-Galactose 1-phosphate,C6H11O9P
galct__D_c,D-Galactarate,galct__D,['C6H8O8'],META:D-GALACTARATE,D-Galactarate,C6H8O8
5dh4dglc_c,5-Dehydro-4-deoxy-D-glucarate,5dh4dglc,['C6H6O7'],META:5-KETO-4-DEOXY-D-GLUCARATE,5-Dehydro-4-deoxy-D-glucarate,C6H6O7
galctn__L_p,L-Galactonate,galctn__L,['C6H11O7'],META:CPD0-1083,L-Galactonate,C6H11O7
galctn__D_e,D-Galactonate,galctn__D,['C6H11O7'],META:D-GALACTONATE,D-Galactonate,C6H11O7
galctn__D_p,D-Galactonate,galctn__D,['C6H11O7'],META:D-GALACTONATE,D-Galactonate,C6H11O7
gal_bD_p,Beta D-Galactose,gal_bD,['C6H12O6'],META:GALACTOSE,Beta D-Galactose,C6H12O6
gal_p,D-Galactose,gal,['C6H12O6'],META:ALPHA-D-GALACTOSE,D-Galactose,C6H12O6
gicolipa_c,Glucosyl-inner core oligosaccharide lipid A,gicolipa,"['C145H251N2O75P4', 'C151H261N2O79P4']",META:CPD0-2247,Glucosyl-inner core oligosaccharide lipid A,"C145H251N2O75P4', 'C151H261N2O79P4"
udpg_c,UDPglucose,udpg,['C15H22N2O17P2'],META:CPD-12575,UDPglucose,C15H22N2O17P2
gagicolipa_c,Galactosyl-glucosyl-inner core oligosaccharide lipid A,gagicolipa,"['C151H261N2O80P4', 'C157H271N2O84P4']",META:CPD0-2258,Galactosyl-glucosyl-inner core oligosaccharide lipid A,"C151H261N2O80P4', 'C157H271N2O84P4"
galt_p,Galactitol,galt,['C6H14O6'],META:GALACTITOL,Galactitol,C6H14O6
galt1p_c,Galactitol 1-phosphate,galt1p,['C6H13O9P'],META:GALACTITOL-1-PHOSPHATE,Galactitol 1-phosphate,C6H13O9P
galur_p,D-Galacturonate,galur,['C6H9O7'],META:D-Galactopyranuronate,D-Galacturonate,C6H9O7
galur_c,D-Galacturonate,galur,['C6H9O7'],META:D-Galactopyranuronate,D-Galacturonate,C6H9O7
galur_e,D-Galacturonate,galur,['C6H9O7'],META:D-Galactopyranuronate,D-Galacturonate,C6H9O7
gal_c,D-Galactose,gal,['C6H12O6'],META:ALPHA-D-GALACTOSE,D-Galactose,C6H12O6
gam6p_p,D-Glucosamine 6-phosphate,gam6p,['C6H13NO8P'],META:D-GLUCOSAMINE-6-P,D-Glucosamine 6-phosphate,C6H13NO8P
gam_p,D-Glucosamine,gam,['C6H14NO5'],META:GLUCOSAMINE,D-Glucosamine,C6H14NO5
gar_c,N1-(5-Phospho-D-ribosyl)glycinamide,gar,"['C7H13N2O8P', 'C7H14N2O8P']",META:5-PHOSPHO-RIBOSYL-GLYCINEAMIDE,N1-(5-Phospho-D-ribosyl)glycinamide,"C7H13N2O8P', 'C7H14N2O8P"
fgam_c,N2-Formyl-N1-(5-phospho-D-ribosyl)glycinamide,fgam,"['C8H13N2O9P', 'C8H12N2O9P']",META:5-P-RIBOSYL-N-FORMYLGLYCINEAMIDE,N2-Formyl-N1-(5-phospho-D-ribosyl)glycinamide,"C8H13N2O9P', 'C8H12N2O9P"
gbbtn_p,Gamma-butyrobetaine,gbbtn,['C7H15NO2'],META:GAMMA-BUTYROBETAINE,Gamma-butyrobetaine,C7H15NO2
gdpddman_c,GDP-4-dehydro-6-deoxy-D-mannose,gdpddman,['C16H21N5O15P2'],META:GDP-4-DEHYDRO-6-DEOXY-D-MANNOSE,GDP-4-dehydro-6-deoxy-D-mannose,C16H21N5O15P2
gdpofuc_c,GDP-4-oxo-L-fucose,gdpofuc,['C16H21N5O15P2'],META:CPD0-2128,GDP-4-oxo-L-fucose,C16H21N5O15P2
gdpmann_c,GDP-D-mannose,gdpmann,['C16H23N5O16P2'],META:GDP-MANNOSE,GDP-D-mannose,C16H23N5O16P2
man1p_c,D-Mannose 1-phosphate,man1p,['C6H11O9P'],META:MANNOSE-1P,D-Mannose 1-phosphate,C6H11O9P
gdp_p,GDP C10H12N5O11P2,gdp,['C10H12N5O11P2'],META:GDP,GDP,C10H12N5O11P2
gg4abut_c,Gamma-glutamyl-gamma aminobutyric acid,gg4abut,['C9H15O5N2'],META:CPD-9000,Gamma-glutamyl-gamma aminobutyric acid,C9H15O5N2
glcn_p,D-Gluconate,glcn,['C6H11O7'],META:GLUCONATE,D-Gluconate,C6H11O7
glycogen_c,Glycogen C6H10O5,glycogen,"['C6H10O5', 'C12H21O10R']",META:Glycogens,Glycogen,"C6H10O5', 'C12H21O10R"
bglycogen_c,Branching glycogen,bglycogen,['C6H10O5'],,Branching glycogen,C6H10O5
2h3oppan_c,2-Hydroxy-3-oxopropanoate,2h3oppan,['C3H3O4'],META:TARTRONATE-S-ALD,2-Hydroxy-3-oxopropanoate,C3H3O4
glcr_c,D-Glucarate,glcr,['C6H8O8'],META:D-GLUCARATE,D-Glucarate,C6H8O8
glcr_p,D-Glucarate,glcr,['C6H8O8'],META:D-GLUCARATE,D-Glucarate,C6H8O8
adpglc_c,ADPglucose C16H23N5O15P2,adpglc,['C16H23N5O15P2'],META:ADP-D-GLUCOSE,ADPglucose,C16H23N5O15P2
icolipa_c,Inner core oligosaccharide lipid A (E coli),icolipa,"['C139H241N2O70P4', 'C145H251N2O74P4']",META:CPD0-2295,Inner core oligosaccharide lipid A (E coli),"C139H241N2O70P4', 'C145H251N2O74P4"
ggagicolipa_c,Glucosyl-galactosyl-glucosyl-inner core oligosaccharide lipid A,ggagicolipa,"['C163H281N2O89P4', 'C157H271N2O85P4']",META:CPD0-2261,Glucosyl-galactosyl-glucosyl-inner core oligosaccharide lipid A,"C163H281N2O89P4', 'C157H271N2O85P4"
gggagicolipa_c,Glucosyl-glucosyl-galactosyl-glucosyl-inner core oligosaccharide lipid A,gggagicolipa,"['C163H281N2O90P4', 'C169H291N2O94P4']",META:CPD0-2259,Glucosyl-glucosyl-galactosyl-glucosyl-inner core oligosaccharide lipid A,"C163H281N2O90P4', 'C169H291N2O94P4"
glcur1p_e,D-Glucuronate 1-phosphate,glcur1p,['C6H8O10P'],META:CPD-510,D-Glucuronate 1-phosphate,C6H8O10P
glcur1p_p,D-Glucuronate 1-phosphate,glcur1p,['C6H8O10P'],META:CPD-510,D-Glucuronate 1-phosphate,C6H8O10P
glcur_e,D-Glucuronate,glcur,['C6H9O7'],META:D-Glucopyranuronate,D-Glucuronate,C6H9O7
glcur_p,D-Glucuronate,glcur,['C6H9O7'],META:D-Glucopyranuronate,D-Glucuronate,C6H9O7
gln__L_e,L-Glutamine,gln__L,['C5H10N2O3'],META:GLN,L-Glutamine,C5H10N2O3
gln__L_p,L-Glutamine,gln__L,['C5H10N2O3'],META:GLN,L-Glutamine,C5H10N2O3
glucys_c,Gamma-L-Glutamyl-L-cysteine,glucys,['C8H13N2O5S'],META:L-GAMMA-GLUTAMYLCYSTEINE,Gamma-L-Glutamyl-L-cysteine,C8H13N2O5S
glu__L_p,L-Glutamate,glu__L,['C5H8NO4'],META:GLT,L-Glutamate,C5H8NO4
nh4_p,Ammonium,nh4,"['H4N', 'NH4']",META:AMMONIA,Ammonium,"H4N', 'NH4"
pram_c,5-Phospho-beta-D-ribosylamine,pram,['C5H11NO7P'],META:5-P-BETA-D-RIBOSYL-AMINE,5-Phospho-beta-D-ribosylamine,C5H11NO7P
glu__D_c,D-Glutamate,glu__D,['C5H8NO4'],META:D-GLT,D-Glutamate,C5H8NO4
trnaglu_c,TRNA (Glu),trnaglu,"['C15H23O16P2R3', 'HOX', 'HR', 'R', 'C15H21N5O10PR']",META:GLT-tRNAs,TNA (Glu),"C15H23O16P2R3', 'HOX', 'HR', 'R', 'C15H21N5O10PR"
glutrna_c,L-Glutamyl-tRNA(Glu),glutrna,"['C5H8NO4X', 'C20H29NO19P2R3', 'C20H28N6O13PR', 'C5H7NO3R', 'C5H8NO3R']",,L-Glutamyl-tRNA(Glu),"C5H8NO4X', 'C20H29NO19P2R3', 'C20H28N6O13PR', 'C5H7NO3R', 'C5H8NO3R"
glu__L_e,L-Glutamate,glu__L,['C5H8NO4'],META:GLT,L-Glutamate,C5H8NO4
glx_c,Glyoxylate,glx,"['C2HO3', 'C2H1O3']",META:GLYOX,Glyoxylate,"C2HO3', 'C2H1O3"
glyald_p,D-Glyceraldehyde,glyald,['C3H6O3'],META:GLYCERALD,D-Glyceraldehyde,C3H6O3
glyald_c,D-Glyceraldehyde,glyald,['C3H6O3'],META:GLYCERALD,D-Glyceraldehyde,C3H6O3
glyb_p,Glycine betaine,glyb,['C5H11NO2'],META:BETAINE,Glycine betaine,C5H11NO2
glyb_e,Glycine betaine,glyb,['C5H11NO2'],META:BETAINE,Glycine betaine,C5H11NO2
glyc3p_p,Glycerol 3-phosphate,glyc3p,['C3H7O6P'],META:GLYCEROL-3P,Glycerol 3-phosphate,C3H7O6P
glyc__R_p,(R)-Glycerate,glyc__R,['C3H5O4'],META:GLYCERATE,(R)-Glycerate,C3H5O4
glyc__R_c,(R)-Glycerate,glyc__R,['C3H5O4'],META:GLYCERATE,(R)-Glycerate,C3H5O4
3pg_c,3-Phospho-D-glycerate,3pg,['C3H4O7P'],META:G3P,3-Phospho-D-glycerate,C3H4O7P
2pg_c,D-Glycerate 2-phosphate,2pg,['C3H4O7P'],META:2-PG,D-Glycerate 2-phosphate,C3H4O7P
glyclt_c,Glycolate C2H3O3,glyclt,['C2H3O3'],META:GLYCOLLATE,Glycolate,C2H3O3
glyclt_p,Glycolate C2H3O3,glyclt,['C2H3O3'],META:GLYCOLLATE,Glycolate,C2H3O3
na1_p,Sodium,na1,['Na'],META:NA+,Sodium,Na
na1_c,Sodium,na1,['Na'],META:NA+,Sodium,Na
glyclt_e,Glycolate C2H3O3,glyclt,['C2H3O3'],META:GLYCOLLATE,Glycolate,C2H3O3
glyc_e,Glycerol,glyc,['C3H8O3'],META:GLYCEROL,Glycerol,C3H8O3
lgt__S_c,(R)-S-Lactoylglutathione,lgt__S,"['C13H20N3O8S', 'C13H19N3O8S']",META:S-LACTOYL-GLUTATHIONE,(R)-S-Lactoylglutathione,"C13H20N3O8S', 'C13H19N3O8S"
gthrd_c,Reduced glutathione,gthrd,"['C10H16N3O6S', 'C10H15N3O6S']",META:GLUTATHIONE,Reduced glutathione,"C10H16N3O6S', 'C10H15N3O6S"
mthgxl_c,Methylglyoxal,mthgxl,['C3H4O2'],META:METHYL-GLYOXAL,Methylglyoxal,C3H4O2
gly_p,Glycine,gly,['C2H5NO2'],META:GLY,Glycine,C2H5NO2
gmhep1p_c,D-Glycero-D-manno-heptose 1-phosphate,gmhep1p,['C7H13O10P'],META:D-BETA-D-HEPTOSE-1-P,D-Glycero-D-manno-heptose 1-phosphate,C7H13O10P
adphep_DD_c,ADP-D-glycero-D-manno-heptose,adphep_DD,"['', 'C17H25N5O16P2']",META:ADP-D-GLYCERO-D-MANNO-HEPTOSE,ADP-D-glycero-D-manno-heptose,"', 'C17H25N5O16P2"
gmhep7p_c,D-Glycero-D-manno-heptose 7-phosphate,gmhep7p,['C7H13O10P'],META:CPD-12543,D-Glycero-D-manno-heptose 7-phosphate,C7H13O10P
gmhep17bp_c,"D-Glycero-D-manno-heptose 1,7-bisphosphate",gmhep17bp,['C7H12O13P2'],,"D-Glycero-D-manno-heptose 1,7-bisphosphate",C7H12O13P2
xmp_c,Xanthosine 5'-phosphate,xmp,['C10H11N4O9P'],META:XANTHOSINE-5-PHOSPHATE,Xanthosine 5'-phosphate,C10H11N4O9P
6pgc_c,6-Phospho-D-gluconate,6pgc,['C6H10O10P'],META:CPD-2961,6-Phospho-D-gluconate,C6H10O10P
gp4g_c,"P1,P4-Bis(5'-guanosyl) tetraphosphate",gp4g,['C20H24N10O21P4'],META:CPD-609,"P1,P4-Bis(5'-guanosyl) tetraphosphate",C20H24N10O21P4
g3pc_p,Sn-Glycero-3-phosphocholine,g3pc,['C8H20NO6P'],META:L-1-GLYCERO-PHOSPHORYLCHOLINE,Sn-Glycero-3-phosphocholine,C8H20NO6P
g3pe_c,Sn-Glycero-3-phosphoethanolamine,g3pe,['C5H14NO6P'],META:L-1-GLYCEROPHOSPHORYLETHANOL-AMINE,Sn-Glycero-3-phosphoethanolamine,C5H14NO6P
ser__L_p,L-Serine,ser__L,['C3H7NO3'],META:SER,L-Serine,C3H7NO3
g3pg_c,Glycerophosphoglycerol,g3pg,['C6H14O8P'],META:GLYCEROPHOSPHOGLYCEROL,Glycerophosphoglycerol,C6H14O8P
g3pg_p,Glycerophosphoglycerol,g3pg,['C6H14O8P'],META:GLYCEROPHOSPHOGLYCEROL,Glycerophosphoglycerol,C6H14O8P
inost_c,Myo-Inositol,inost,['C6H12O6'],META:CPD-8052,Myo-Inositol,C6H12O6
inost_p,Myo-Inositol,inost,['C6H12O6'],META:CPD-8052,Myo-Inositol,C6H12O6
frdp_c,Farnesyl diphosphate,frdp,['C15H25O7P2'],META:FARNESYL-PP,Farnesyl diphosphate,C15H25O7P2
grxox_c,Glutaredoxin (oxidized),grxox,['X'],,Glutaredoxin (oxidized),X
grxrd_c,Glutaredoxin (reduced),grxrd,['XH2'],,Glutaredoxin (reduced),XH2
gthox_c,Oxidized glutathione,gthox,"['C20H30N6O12S2', 'C20H28N6O12S2']",META:OXIDIZED-GLUTATHIONE,Oxidized glutathione,"C20H30N6O12S2', 'C20H28N6O12S2"
gsn_c,Guanosine,gsn,"['C10H13N5O5', 'C10H12N5O5']",META:GUANOSINE,Guanosine,"C10H13N5O5', 'C10H12N5O5"
gtspmd_c,Glutathionylspermidine,gtspmd,['C17H36N6O5S'],META:GLUTATHIONYLSPERMIDINE,Glutathionylspermidine,C17H36N6O5S
spmd_c,Spermidine,spmd,['C7H22N3'],META:SPERMIDINE,Spermidine,C7H22N3
gthrd_e,Reduced glutathione,gthrd,"['C10H16N3O6S', 'C10H15N3O6S']",META:GLUTATHIONE,Reduced glutathione,"C10H16N3O6S', 'C10H15N3O6S"
gdptp_c,Guanosine 3'-diphosphate 5'-triphosphate,gdptp,"['C10H11N5O20P5', 'C10H12N5O20P5']",META:GDP-TP,Guanosine 3'-diphosphate 5'-triphosphate,"C10H11N5O20P5', 'C10H12N5O20P5"
xtp_c,XTP,xtp,['C10H11N4O15P3'],META:XTP,XTP,C10H11N4O15P3
gtp_e,GTP C10H12N5O14P3,gtp,['C10H12N5O14P3'],META:GTP,GTP,C10H12N5O14P3
gtp_p,GTP C10H12N5O14P3,gtp,['C10H12N5O14P3'],META:GTP,GTP,C10H12N5O14P3
gua_c,Guanine,gua,"['C5H4N5O', 'C5H5N5O']",META:GUANINE,Guanine,"C5H4N5O', 'C5H5N5O"
gua_p,Guanine,gua,"['C5H4N5O', 'C5H5N5O']",META:GUANINE,Guanine,"C5H4N5O', 'C5H5N5O"
glcur_c,D-Glucuronate,glcur,['C6H9O7'],META:D-Glucopyranuronate,D-Glucuronate,C6H9O7
tagur_c,D-Tagaturonate,tagur,"['C6H10O7', 'C6H9O7']",META:D-TAGATURONATE,D-Tagaturonate,"C6H10O7', 'C6H9O7"
h2o2_p,Hydrogen peroxide,h2o2,['H2O2'],META:HYDROGEN-PEROXIDE,Hydrogen peroxide,H2O2
h2s_e,Hydrogen sulfide,h2s,"['H2S', 'H1S', 'HS']",META:CPD-7046,Hydrogen sulfide,"H2S', 'H1S', 'HS"
h2s_p,Hydrogen sulfide,h2s,"['H2S', 'H1S', 'HS']",META:CPD-7046,Hydrogen sulfide,"H2S', 'H1S', 'HS"
h2_p,Hydrogen,h2,['H2'],META:HYDROGEN-MOLECULE,Hydrogen,H2
h2_c,Hydrogen,h2,['H2'],META:HYDROGEN-MOLECULE,Hydrogen,H2
3hddcoa_c,(S)-3-Hydroxydodecanoyl-CoA,3hddcoa,['C33H54N7O18P3S'],META:CPD0-2107,(S)-3-Hydroxydodecanoyl-CoA,C33H54N7O18P3S
3ohdcoa_c,3-Oxohexadecanoyl-CoA,3ohdcoa,['C37H60N7O18P3S'],META:3-OXOPALMITOYL-COA,3-Oxohexadecanoyl-CoA,C37H60N7O18P3S
3hhdcoa_c,(S)-3-Hydroxyhexadecanoyl-CoA,3hhdcoa,['C37H62N7O18P3S'],META:CPD0-2232,(S)-3-Hydroxyhexadecanoyl-CoA,C37H62N7O18P3S
3ophb_c,3-Octaprenyl-4-hydroxybenzoate,3ophb,['C47H69O3'],META:3-OCTAPRENYL-4-HYDROXYBENZOATE,3-Octaprenyl-4-hydroxybenzoate,C47H69O3
3hcinnm_p,3-hydroxycinnamic acid,3hcinnm,['C9H7O3'],META:CPD-10797,3-hydroxycinnamic acid,C9H7O3
3hcinnm_c,3-hydroxycinnamic acid,3hcinnm,['C9H7O3'],META:CPD-10797,3-hydroxycinnamic acid,C9H7O3
mmet_c,S-Methyl-L-methionine,mmet,['C6H14NO2S'],META:CPD-397,S-Methyl-L-methionine,C6H14NO2S
hdcea_e,Hexadecenoate (n-C16:1),hdcea,['C16H29O2'],,Hexadecenoate (n-C16:1),C16H29O2
hemeO_c,Heme O C49H56FeN4O5,hemeO,"['C49FeH56N4O5', 'C49H56FeN4O5']",META:CPD-17063,Heme O,"C49FeH56N4O5', 'C49H56FeN4O5"
adphep_LD_c,ADP-L-glycero-D-manno-heptose,adphep_LD,['C17H25N5O16P2'],META:ADP-L-GLYCERO-D-MANNO-HEPTOSE,ADP-L-glycero-D-manno-heptose,C17H25N5O16P2
hlipa_c,Heptosyl-kdo2-lipidA,hlipa,['C117H208N2O45P2'],META:CPD0-929,Heptosyl-kdo2-lipidA,C117H208N2O45P2
hhlipa_c,Heptosyl-heptosyl-kdo2-lipidA,hhlipa,['C124H220N2O51P2'],META:CPD0-930,Heptosyl-heptosyl-kdo2-lipidA,C124H220N2O51P2
man_c,D-Mannose,man,['C6H12O6'],META:D-mannopyranose,D-Mannose,C6H12O6
man6p_c,D-Mannose 6-phosphate,man6p,['C6H11O9P'],META:CPD-15979,D-Mannose 6-phosphate,C6H11O9P
hg2_c,Mercury  charged 2  Hg,hg2,['Hg'],META:HG+2,Mercury  charged 2,Hg
hg2_p,Mercury  charged 2  Hg,hg2,['Hg'],META:HG+2,Mercury  charged 2,Hg
histd_c,L-Histidinol,histd,"['C6H13N3O', 'C6H12N3O']",META:HISTIDINOL,L-Histidinol,"C6H13N3O', 'C6H12N3O"
his__L_p,L-Histidine,his__L,['C6H9N3O2'],META:HIS,L-Histidine,C6H9N3O2
his__L_e,L-Histidine,his__L,['C6H9N3O2'],META:HIS,L-Histidine,C6H9N3O2
ppbng_c,Porphobilinogen,ppbng,['C10H13N2O4'],META:PORPHOBILINOGEN,Porphobilinogen,C10H13N2O4
hmbil_c,Hydroxymethylbilane,hmbil,['C40H38N4O17'],META:HYDROXYMETHYLBILANE,Hydroxymethylbilane,C40H38N4O17
4h2opntn_c,4-Hydroxy-2-oxopentanoate,4h2opntn,['C5H7O4'],,4-Hydroxy-2-oxopentanoate,C5H7O4
dhpppn_c,"3-(2,3-Dihydroxyphenyl)propanoate",dhpppn,['C9H9O4'],META:2-3-DIHYDROXYPHENYL-PROPIONATE,"3-(2,3-Dihydroxyphenyl)propanoate",C9H9O4
hkndd_c,"2-Hydroxy-6-oxonona-2,4-diene-1,9-dioate",hkndd,['C9H8O6'],META:CPD-157,"2-Hydroxy-6-oxonona-2,4-diene-1,9-dioate",C9H8O6
3hpppn_p,3-(3-hydroxy-phenyl)propionate,3hpppn,['C9H9O3'],META:3-HYDROXYPHENYL-PROPIONATE,3-(3-hydroxy-phenyl)propionate,C9H9O3
3hpppn_c,3-(3-hydroxy-phenyl)propionate,3hpppn,['C9H9O3'],META:3-HYDROXYPHENYL-PROPIONATE,3-(3-hydroxy-phenyl)propionate,C9H9O3
hpyr_c,Hydroxypyruvate,hpyr,['C3H3O4'],META:OH-PYR,Hydroxypyruvate,C3H3O4
hom__L_c,L-Homoserine,hom__L,['C4H9NO3'],META:HOMO-SER,L-Homoserine,C4H9NO3
phom_c,O-Phospho-L-homoserine,phom,['C4H8NO6P'],META:O-PHOSPHO-L-HOMOSERINE,O-Phospho-L-homoserine,C4H8NO6P
suchms_c,O-Succinyl-L-homoserine,suchms,['C8H12NO6'],META:O-SUCCINYL-L-HOMOSERINE,O-Succinyl-L-homoserine,C8H12NO6
imacp_c,3-(Imidazol-4-yl)-2-oxopropyl phosphate,imacp,"['C6H8N2O5P', 'C6H7N2O5P']",META:IMIDAZOLE-ACETOL-P,3-(Imidazol-4-yl)-2-oxopropyl phosphate,"C6H8N2O5P', 'C6H7N2O5P"
hisp_c,L-Histidinol phosphate,hisp,['C6H11N3O4P'],META:L-HISTIDINOL-P,L-Histidinol phosphate,C6H11N3O4P
pydam_c,Pyridoxamine,pydam,['C8H13N2O2'],META:PYRIDOXAMINE,Pyridoxamine,C8H13N2O2
hxan_e,Hypoxanthine,hxan,['C5H4N4O'],META:HYPOXANTHINE,Hypoxanthine,C5H4N4O
hxan_p,Hypoxanthine,hxan,['C5H4N4O'],META:HYPOXANTHINE,Hypoxanthine,C5H4N4O
2fe1s_c,[2Fe-1S] desulfurated iron-sulfur cluster,2fe1s,['SFe2'],,[2Fe-1S] desulfurated iron-sulfur cluster,SFe2
iscssh_c,IscS with bound sulfur,iscssh,"['RS2', 'HS2R']",,IscS with bound sulfur,"RS2', 'HS2R"
iscu_c,IscU scaffold protein,iscu,['H8O2S6R'],,IscU scaffold protein,H8O2S6R
iscs_c,IscS sulfur acceptor protein,iscs,['HSR'],,IscS sulfur acceptor protein,HSR
iscu_2fe2s_c,IscU with bound [2Fe-2S] cluster,iscu_2fe2s,['H4O2S8Fe2R'],,IscU with bound [2Fe-2S] cluster,H4O2S8Fe2R
iscu_4fe4s_c,IscU with bound [4Fe-4S] cluster,iscu_4fe4s,['H4O2S10Fe4R'],,IscU with bound [4Fe-4S] cluster,H4O2S10Fe4R
ichor_c,Isochorismate,ichor,['C10H8O6'],META:ISOCHORISMATE,Isochorismate,C10H8O6
prlp_c,5-[(5-phospho-1-deoxyribulos-1-ylamino)methylideneamino]-1-(5-phosphoribosyl)imidazole-4-carboxamide,prlp,"['C15H22N5O15P2', 'C15H21N5O15P2']",META:PHOSPHORIBULOSYL-FORMIMINO-AICAR-P,5-[(5-phospho-1-deoxyribulos-1-ylamino)methylideneamino]-1-(5-phosphoribosyl)imidazole-4-carboxamide,"C15H22N5O15P2', 'C15H21N5O15P2"
