 ,carveme,seed,pathway tools,aureme,raven,raven comb,raven homo,merlin,reconstructor,aureme2,aureme3,aureme4
MNXR146330,1,0,0,0,0,0,0,0,0,0,0,0
MNXR146332,1,0,0,0,0,0,0,0,0,0,1,0
MNXR146336,1,0,0,0,0,0,0,0,0,0,0,0
MNXR146338,1,0,0,0,0,0,0,0,0,0,1,0
MNXR146342,1,0,0,0,0,0,0,0,0,0,1,0
MNXR146346,1,0,0,0,0,0,0,0,0,0,1,0
MNXR146350,1,0,0,0,0,0,0,0,0,0,1,0
MNXR146396,1,0,0,0,0,0,0,0,0,0,0,0
MNXR146493,1,0,0,0,0,0,0,0,0,0,0,0
MNXR146495,1,1,0,0,0,0,0,1,0,0,0,0
MNXR146501,1,0,0,0,0,0,0,0,0,0,1,1
MNXR146526,1,0,0,0,0,0,0,0,0,0,0,0
MNXR146538,1,0,0,0,0,0,0,0,0,0,0,0
MNXR146555,1,0,0,0,0,0,0,0,0,0,1,0
MNXR146573,1,0,0,0,0,0,0,0,0,0,1,1
MNXR146581,1,0,1,1,1,1,1,0,1,1,1,0
MNXR146642,1,0,1,1,1,1,0,1,0,1,1,0
MNXR146653,1,0,0,0,0,0,0,0,1,0,0,0
MNXR146667,1,0,0,0,0,0,0,0,0,0,0,0
MNXR146678,1,0,0,0,0,0,0,0,0,0,0,0
MNXR146695,1,0,0,0,0,0,0,0,0,0,0,0
MNXR146728,1,1,0,0,0,0,0,0,0,0,0,0
MNXR146729,1,0,0,0,0,0,0,0,0,0,0,0
MNXR146739,1,0,1,1,0,1,1,0,1,1,1,0
MNXR146751,1,0,0,0,0,0,0,0,0,0,0,0
MNXR146759,1,0,1,1,1,1,0,0,1,1,1,0
MNXR146789,1,0,0,0,0,0,0,0,1,0,0,0
MNXR146809,1,0,0,0,0,0,0,1,0,0,0,0
MNXR146810,1,0,1,0,0,1,1,1,0,0,0,1
MNXR146812,1,0,1,0,0,1,1,1,1,0,1,0
MNXR146938,1,0,0,0,0,0,0,0,0,0,0,0
MNXR147046,1,1,1,0,1,1,1,1,1,0,0,0
MNXR147724,1,0,0,0,0,1,1,1,0,0,1,0
MNXR147976,1,0,0,0,0,0,0,0,1,0,0,1
MNXR148082,1,0,0,0,0,0,0,0,0,0,1,0
MNXR150328,1,0,0,0,0,0,0,0,0,0,0,0
MNXR151192,1,0,1,1,0,0,0,0,0,1,1,0
MNXR151211,1,0,0,0,0,0,0,0,0,0,0,0
MNXR151238,1,0,0,0,0,0,1,1,0,0,1,0
MNXR151244,1,0,0,0,0,0,0,0,1,0,0,0
MNXR151340,1,1,0,0,0,0,0,0,0,0,1,0
MNXR151353,1,0,0,0,0,0,0,0,0,0,0,0
MNXR151386,1,0,0,0,0,0,0,0,0,0,0,0
MNXR151400,1,0,0,0,0,0,0,0,0,0,0,0
MNXR151449,1,0,0,0,0,0,0,0,0,0,0,0
MNXR151498,1,1,0,0,0,0,0,1,0,0,0,0
MNXR151528,1,0,1,1,0,1,1,0,0,1,1,0
MNXR151600,1,1,0,0,0,0,0,0,0,0,0,0
MNXR151715,1,0,0,0,0,0,0,0,0,0,0,0
MNXR151858,1,0,0,0,0,0,0,0,0,0,0,0
MNXR152004,1,0,0,0,0,0,0,0,0,0,0,0
MNXR152012,1,0,1,1,1,1,1,1,1,1,1,0
MNXR152165,1,0,0,0,0,0,0,0,0,0,1,0
MNXR152170,1,0,0,0,0,0,0,0,0,0,0,0
MNXR152188,1,0,0,0,0,0,0,0,0,0,0,0
MNXR152210,1,0,0,0,0,0,0,0,0,0,0,0
MNXR152218,1,0,0,0,0,0,0,0,0,0,0,0
MNXR152254,1,1,1,1,1,1,1,1,1,1,1,0
MNXR152268,1,0,0,0,0,0,0,0,0,0,1,0
MNXR152735,1,0,0,0,0,0,0,1,0,0,0,0
MNXR152867,1,0,0,0,0,0,0,1,0,0,0,0
MNXR152921,1,0,0,0,0,0,0,0,0,0,0,0
MNXR152943,1,0,0,0,0,0,0,0,0,0,0,0
MNXR152946,1,0,1,0,1,1,1,0,0,0,1,0
MNXR152967,1,0,1,1,0,1,1,1,1,1,1,0
MNXR152984,1,0,0,0,0,0,0,0,0,0,0,0
MNXR152993,1,0,0,0,0,0,0,0,0,0,0,0
MNXR152999,1,0,0,0,0,0,0,0,0,0,0,0
MNXR153004,1,0,0,0,0,0,0,0,0,0,0,0
MNXR153008,1,0,0,0,0,0,0,0,0,0,1,0
MNXR153021,1,1,1,1,1,1,1,1,1,1,1,0
MNXR153054,1,0,1,1,1,1,1,1,1,1,1,0
MNXR153095,1,0,0,0,0,0,0,0,0,0,0,0
MNXR153293,1,0,1,1,0,0,0,1,0,1,1,1
MNXR153314,1,0,0,0,0,0,0,0,0,0,0,0
MNXR153326,1,0,1,0,1,1,1,1,1,0,1,0
MNXR153354,1,1,0,0,0,0,0,0,0,0,0,0
MNXR153359,1,1,0,0,0,0,0,0,0,0,0,0
MNXR153392,1,1,1,1,1,1,1,1,1,1,1,0
MNXR153398,1,0,0,0,0,0,0,0,0,0,0,0
MNXR153400,1,0,0,0,0,0,0,0,0,0,1,0
MNXR153408,1,0,1,1,1,1,1,1,1,1,1,1
MNXR153474,1,0,1,0,0,0,0,1,0,0,0,0
MNXR153482,1,1,1,0,0,0,0,0,0,0,1,0
MNXR153517,1,0,0,0,0,0,0,0,0,0,1,0
MNXR153527,1,0,0,0,0,0,0,0,1,0,0,0
MNXR153595,1,1,0,0,0,0,1,1,1,0,1,0
MNXR153608,1,1,1,1,1,1,1,1,1,1,1,0
MNXR153621,1,1,0,0,0,0,1,0,1,0,1,0
MNXR153725,1,0,0,0,0,0,0,0,0,0,0,0
MNXR153731,1,0,0,0,0,0,0,0,0,0,0,0
MNXR153745,1,0,1,1,1,1,0,0,0,1,1,0
