Original ID,Raw MetaNetX ID,Final ID
xol7a_r,MNXM39189_r,MNXM39189
L-GULONATE_c,MNXM1927_c,MNXM1927
CPD-14277_c,MNXM1105747_c,MNXM1105747
nadh_r,MNXM10_r,MNXM10
CPD-14282_c,MNXM97616_c,MNXM97616
PROTON_c,MNXM1~_c,MNXM1
h_r,MNXM1_r,MNXM1
D-Amino-Acids_c,MNXM774_c,MNXM774
xol7aone_r,MNXM730346_r,MNXM730346
OXYGEN-MOLECULE_c,MNXM735438~_c,MNXM735438
2-Oxo-carboxylates_c,MNXM730326_c,MNXM730326
AMMONIUM_c,MNXM729304_c,MNXM729304
CPD-14278_c,MNXM162513_c,MNXM162513
HYDROGEN-PEROXIDE_c,MNXM732621_c,MNXM732621
CPD-14283_c,MNXM1103853_c,MNXM1103853
CPD-14053_c,MNXM1106144_c,MNXM1106144
NADP_c,MNXM5~_c,MNXM5
6-PYRUVOYL-5678-TETRAHYDROPTERIN_c,MNXM467_c,MNXM467
NADPH_c,MNXM738702~_c,MNXM738702
CPD-302_c,MNXM974_c,MNXM974
CPD-9965_c,MNXM3215_c,MNXM3215
OXALACETIC_ACID_c,MNXM46_c,MNXM46
nadph_r,MNXM738702_r,MNXM738702
ITACONATE_c,MNXM1747_c,MNXM1747
CPD-10279_c,MNXM726559_c,MNXM726559
GTP_c,MNXM51_c,MNXM51
CO-A_c,MNXM727276~_c,MNXM727276
CPD-1137_c,MNXM1671_c,MNXM1671
GDP_c,MNXM30_c,MNXM30
Pi_c,MNXM9~_c,MNXM9
cys__L_e,MNXM738067_e,MNXM738067
leu__L_c,MNXM1106762_c,MNXM1106762
leu__L_e,MNXM1106762_e,MNXM1106762
pro__L_c,MNXM114_c,MNXM114
pro__L_e,MNXM114_e,MNXM114
asn__L_c,MNXM147_c,MNXM147
asn__L_e,MNXM147_e,MNXM147
2dr1p_c,MNXM1108138_c,MNXM1108138
dad_2_c,MNXM625_c,MNXM625
gsn_c,MNXM1103400_c,MNXM1103400
gua_c,MNXM733114_c,MNXM733114
dgsn_c,MNXM647_c,MNXM647
FRUCTOSE-6P_c,MNXM89621_c,MNXM89621
ATP_c,MNXM3~_c,MNXM3
hxan_c,MNXM732487_c,MNXM732487
CPD-535_c,MNXM739220_c,MNXM739220
ADP_c,MNXM40333~_c,MNXM40333
xan_c,MNXM174_c,MNXM174
ASX-tRNAs_c,MNXM88203_c,MNXM88203
L-ASPARTATE_c,MNXM735837_c,MNXM735837
ASPARTYL-ASX-TRNAS_c,MNXM730164_c,MNXM730164
PPI_c,MNXM11_c,MNXM11
AMP_c,MNXM723601_c,MNXM723601
GLX-tRNAs_c,MNXM7849_c,MNXM7849
5-HYDROXY-L-LYSINE_c,MNXM5281_c,MNXM5281
GLT_c,MNXM89557_c,MNXM89557
GLUTAMYL-GLX-TRNAS_c,MNXM731033_c,MNXM731033
5-PHOSPHONOOXY-L-LYSINE_c,MNXM730903_c,MNXM730903
ins_c,MNXM1103335_c,MNXM1103335
din_c,MNXM935_c,MNXM935
xtsn_c,MNXM1103769_c,MNXM1103769
ALL-TRANS-HEXAPRENYL-DIPHOSPHATE_c,MNXM726465_c,MNXM726465
4-hydroxybenzoate_c,MNXM164_c,MNXM164
3-HEXAPRENYL-4-HYDROXYBENZOATE_c,MNXM733937_c,MNXM733937
D-GLT_c,MNXM331_c,MNXM331
2-KETOGLUTARATE_c,MNXM20_c,MNXM20
SPERMINE_c,MNXM408_c,MNXM408
SPERMIDINE_c,MNXM124_c,MNXM124
CPD-6082_c,MNXM736084_c,MNXM736084
gln__L_e,MNXM37_e,MNXM37
met__L_c,MNXM738804_c,MNXM738804
CPD0-1027_c,MNXM7206_c,MNXM7206
gln__L_c,MNXM37_c,MNXM37
GLC-1-P_c,MNXM722711_c,MNXM722711
met__L_e,MNXM738804_e,MNXM738804
D-LACTATE_c,MNXM731834_c,MNXM731834
Cytochromes-C-Oxidized_c,MNXM230_c,MNXM230
PYRUVATE_c,MNXM23_c,MNXM23
Cytochromes-C-Reduced_c,MNXM731959_c,MNXM731959
trp__L_c,MNXM94_c,MNXM94
FARNESYL-PP_c,MNXM1103344_c,MNXM1103344
DELTA3-ISOPENTENYL-PP_c,MNXM83_c,MNXM83
CPD-9610_c,MNXM7284_c,MNXM7284
CPD-10280_c,MNXM5209_c,MNXM5209
CPD1G-277_c,MNXM1103880_c,MNXM1103880
CPDQT-520_c,MNXM74779_c,MNXM74779
CPD-2183_c,MNXM338645_c,MNXM338645
S-ADENOSYLMETHIONINE_c,MNXM16_c,MNXM16
18S-rRNA-pseudouridine-1191_c,MNXM97901_c,MNXM97901
ADENOSYL-HOMO-CYS_c,MNXM19_c,MNXM19
18S-rRNA-N1-methylpseudouridine-1191_c,MNXM741767_c,MNXM741767
3-HYDROXY-3-METHYL-GLUTARYL-COA_c,MNXM1104235_c,MNXM1104235
3-KETOBUTYRATE_c,MNXM729595_c,MNXM729595
ACETYL-COA_c,MNXM1104266~_c,MNXM1104266
ACETOACETYL-COA_c,MNXM725927_c,MNXM725927
GLYCERATE_c,MNXM732053_c,MNXM732053
NAD-P-OR-NOP_c,MNXM137_c,MNXM137
OH-PYR_c,MNXM392_c,MNXM392
NADH-P-OR-NOP_c,MNXM162231_c,MNXM162231
Purine-Ribonucleosides_c,MNXM147023_c,MNXM147023
D-Ribofuranose_c,MNXM242_c,MNXM242
Purine-Bases_c,MNXM79744_c,MNXM79744
BIOTIN_c,MNXM304_c,MNXM304
Apo-Propionyl-CoA-CO2-ligases_c,MNXM729241_c,MNXM729241
Propionyl-CoA-CO2-ligases_c,MNXM147123_c,MNXM147123
3-methylcrotonoyl-CoA-carboxylase-lysine_c,MNXM1089653_c,MNXM1089653
Biotin-EC6-4-1-4_c,MNXM164603_c,MNXM164603
apo-Transcarboxylases_c,MNXM16122_c,MNXM16122
holo-Transcarboxylases_c,MNXM167929_c,MNXM167929
GLN_c,MNXM37~_c,MNXM37
L-aspartyl-tRNAAsn_c,MNXM730164~_c,MNXM730164
Charged-ASN-tRNAs_c,MNXM163775_c,MNXM163775
DEOXY-D-RIBOSE-1-PHOSPHATE_c,MNXM1108138~_c,MNXM1108138
DEOXY-RIBOSE-5P_c,MNXM2179_c,MNXM2179
D-RIBULOSE_c,MNXM41271_c,MNXM41271
RIBULOSE-5P_c,MNXM145_c,MNXM145
D-Xylopyranose_c,MNXM734575_c,MNXM734575
CPD-360_c,MNXM1737_c,MNXM1737
ALL-TRANS-HEPTAPRENYL-DIPHOSPHATE_c,MNXM731634_c,MNXM731634
CPD-9852_c,MNXM8112_c,MNXM8112
CPD-9858_c,MNXM9852_c,MNXM9852
CPD-9859_c,MNXM10365_c,MNXM10365
CPD-9864_c,MNXM733937~_c,MNXM733937
CPD-9869_c,MNXM9809_c,MNXM9809
CPD-9871_c,MNXM9808_c,MNXM9808
ser__L_e,MNXM725422_e,MNXM725422
ser__L_c,MNXM725422_c,MNXM725422
CPD-9873_c,MNXM36398_c,MNXM36398
CPD-9958_c,MNXM1108515_c,MNXM1108515
CPD-9870_c,MNXM9853_c,MNXM9853
CPD-1108_c,MNXM727358_c,MNXM727358
DIACYLGLYCEROL_c,MNXM738562_c,MNXM738562
INOSITOL-1-4-BISPHOSPHATE_c,MNXM162282_c,MNXM162282
CPD1F-130_c,MNXM731637_c,MNXM731637
CPD-14329_c,MNXM723248_c,MNXM723248
CPD-14334_c,MNXM163625_c,MNXM163625
CPD1F-129_c,MNXM736699_c,MNXM736699
RETINAL_c,MNXM425_c,MNXM425
DIIODO-L-TYROSINE_c,MNXM730786_c,MNXM730786
TYR_c,MNXM76~_c,MNXM76
CPD-387_c,MNXM730587_c,MNXM730587
GLY_c,MNXM29_c,MNXM29
gly_c,MNXM29~_c,MNXM29
gly_e,MNXM29_e,MNXM29
HYPOTAURINE_c,MNXM726_c,MNXM726
NAD_c,MNXM8~_c,MNXM8
TAURINE_c,MNXM282_c,MNXM282
NADH_c,MNXM10~_c,MNXM10
L-glutamyl-tRNAGln_c,MNXM731033~_c,MNXM731033
Charged-GLN-tRNAs_c,MNXM10916_c,MNXM10916
FRUCTOSE-16-DIPHOSPHATE_c,MNXM1106095_c,MNXM1106095
CARBON-DIOXIDE_c,MNXM13_c,MNXM13
CPD-2961_c,MNXM734080_c,MNXM734080
D-6-P-GLUCONO-DELTA-LACTONE_c,MNXM1104491_c,MNXM1104491
3htmelys_c,MNXM91413_c,MNXM91413
succ_c,MNXM25_c,MNXM25
3aib__D_m,MNXM162802_m,MNXM162802
pyr_m,MNXM23_m,MNXM23
2mop_m,MNXM305_m,MNXM305
ala__L_m,MNXM32_m,MNXM32
damp_c,MNXM1097068_c,MNXM1097068
crn_c,MNXM731667_c,MNXM731667
coa_m,MNXM727276_m,MNXM727276
tmndnccoa_m,MNXM1449_m,MNXM1449
CPD-9872_c,MNXM10366_c,MNXM10366
tmndnccrn_c,MNXM9158_c,MNXM9158
CPD-9896_c,MNXM10069_c,MNXM10069
tmndnccrn_m,MNXM9158_m,MNXM9158
CPD-9898_c,MNXM10070_c,MNXM10070
CPD-9895_c,MNXM737269_c,MNXM737269
CPD-9897_c,MNXM5516_c,MNXM5516
Long-Chain-Acyl-CoAs_c,MNXM734221_c,MNXM734221
Long-chain-alcohols_c,MNXM166791_c,MNXM166791
h_i,MNXM1_i,MNXM1
DIMETHYL-GLYCINE_c,MNXM464_c,MNXM464
BETAINE_c,MNXM289_c,MNXM289
MALONYL-COA_c,MNXM1106093_c,MNXM1106093
LINOLENOYL-COA_c,MNXM994_c,MNXM994
CPD-14422_c,MNXM97402_c,MNXM97402
CPD-14423_c,MNXM97401_c,MNXM97401
7dhcdchol_c,MNXM1092010_c,MNXM1092010
